Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Gears,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions,Fuel avg 
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,2.7,4,0,4,0,12.2,9.9,11.2,25,258,14.575
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4,0,4,0,13.1,11.3,12.3,23,283,14.925
TOYOTA,YARIS,COMPACT,1.5,4,0,4,0,7.8,6.6,7.3,39,168,15.175
DODGE,JOURNEY,SUV - SMALL,2.4,4,0,4,0,12.7,9.1,11.1,25,260,14.475
NISSAN,MICRA,COMPACT,1.6,4,0,4,0,8.8,6.6,7.8,36,184,14.8
TOYOTA,COROLLA,MID-SIZE,1.8,4,0,4,0,8.6,6.5,7.6,37,179,14.925
TOYOTA,YARIS HATCHBACK,COMPACT,1.5,4,0,4,0,7.8,6.6,7.3,39,170,15.175
DODGE,JOURNEY,SUV - SMALL,2.4,4,0,4,0,12.7,9.2,11.1,25,261,14.5
NISSAN,MICRA,COMPACT,1.6,4,0,4,0,8.9,6.8,7.9,36,186,14.9
TOYOTA,YARIS HATCHBACK,COMPACT,1.5,4,0,4,0,7.9,6.8,7.4,38,173,15.025
DODGE,JOURNEY,SUV - SMALL,2.4,4,0,4,0,12.7,9.2,11.1,25,261,14.5
NISSAN,MICRA,COMPACT,1.6,4,0,4,0,9,6.8,8,35,188,14.7
TOYOTA,YARIS HATCHBACK,COMPACT,1.5,4,0,4,0,7.9,6.8,7.4,38,173,15.025
DODGE,Journey,SUV - SMALL,2.4,4,0,4,0,12.7,9.2,11.1,25,261,14.5
NISSAN,Micra,COMPACT,1.6,4,0,4,0,9,6.8,8,35,188,14.7
TOYOTA,Yaris Hatchback,COMPACT,1.5,4,0,4,0,7.9,6.8,7.4,38,173,15.025
DODGE,Journey,SUV - SMALL,2.4,4,0,4,0,12.7,9.2,11.1,25,261,14.5
CHRYSLER,300 (MDS),FULL-SIZE,5.7,8,0,5,0,15.8,9.2,12.8,22,294,14.95
CHRYSLER,300 AWD (MDS),FULL-SIZE,5.7,8,0,5,0,16.1,10,13.4,21,308,15.125
CHRYSLER,300 SRT (MDS),FULL-SIZE,6.4,8,0,5,1,16.7,10.3,13.8,20,317,15.2
DODGE,CHALLENGER,MID-SIZE,3.6,6,0,5,0,13.2,8.7,11.2,25,258,14.525
DODGE,CHALLENGER (MDS),MID-SIZE,5.7,8,0,5,0,15.8,9.2,12.8,22,294,14.95
DODGE,CHALLENGER SRT (MDS),MID-SIZE,6.4,8,0,5,1,16.7,10.3,13.8,20,317,15.2
DODGE,CHARGER,FULL-SIZE,3.6,6,0,5,0,13.2,8.7,11.2,25,258,14.525
